,subject,story,trial,Seen,ResponseType,Informativity,Chosen
110,A187VXD4ETY6M2,inspector,high,1,MA,NA,1
111,A187VXD4ETY6M2,coffee,low,1,MA,NA,1
112,A1USR9JCAMDGM3,firefighter,high,1,MA,NA,1
113,A1USR9JCAMDGM3,terrorism,high,1,MA,NA,1
114,A1USR9JCAMDGM3,la,low,1,MA,NA,0
115,A1USR9JCAMDGM3,operative,high,1,MA,NA,1
116,A1USR9JCAMDGM3,pic,low,1,MA,NA,1
117,A1IS0218RVG60K,fbi,high,1,MA,NA,1
118,A1IS0218RVG60K,firefighter,high,1,MA,NA,1
119,A39DNHD26OMN4Q,pic,low,1,MA,NA,1
120,A39DNHD26OMN4Q,inspector,high,1,MA,NA,1
121,A1V9G7V6ZYACIR,fbi,high,1,MA,NA,1
122,A1V9G7V6ZYACIR,la,low,1,MA,NA,1
123,AM2KK02JXXW48,firefighter,high,1,MA,NA,1
124,AM2KK02JXXW48,operative,high,1,MA,NA,1
125,A3L2UB07EZJAMD,operative,high,1,MA,NA,1
126,A3L2UB07EZJAMD,coffee,low,1,MA,NA,1
127,A3L2UB07EZJAMD,terrorism,high,1,MA,NA,0
128,A3L2UB07EZJAMD,pic,low,1,MA,NA,1
129,A28SYXQL3YOKVL,terrorism,high,1,MA,NA,1
130,A28SYXQL3YOKVL,brother,low,1,MA,NA,1
131,A1CY01G7686ORZ,yoga,low,1,MA,NA,0
132,A1CY01G7686ORZ,pic,low,1,MA,NA,0
133,A2QKM3JUFWBSMO,fbi,high,1,MA,NA,0
134,A7SXWHGK8B40R,fbi,high,1,MA,NA,1
135,A7SXWHGK8B40R,la,low,1,MA,NA,1
136,A7SXWHGK8B40R,yoga,low,1,MA,NA,1
137,A7SXWHGK8B40R,brother,low,1,MA,NA,1
138,A7SXWHGK8B40R,coffee,low,1,MA,NA,1
139,A7SXWHGK8B40R,operative,high,1,MA,NA,1
140,A230GPTWWF3SE7,pic,low,1,MA,NA,1
141,A230GPTWWF3SE7,firefighter,high,1,MA,NA,1
142,A230GPTWWF3SE7,coffee,low,1,MA,NA,1
143,A230GPTWWF3SE7,terrorism,high,1,MA,NA,1
144,A2RMJNF6IPI42F,coffee,low,1,MA,NA,0
145,A1GKD3NG1NNHRP,yoga,low,1,MA,NA,1
146,A1GKD3NG1NNHRP,terrorism,high,1,MA,NA,1
147,A1GKD3NG1NNHRP,fbi,high,1,MA,NA,1
148,A1GKD3NG1NNHRP,la,low,1,MA,NA,0
149,A3JLE2LJ5I17E2,la,low,1,MA,NA,0
150,A3JLE2LJ5I17E2,brother,low,1,MA,NA,0
151,A3JLE2LJ5I17E2,fbi,high,1,MA,NA,1
152,A3JLE2LJ5I17E2,yoga,low,1,MA,NA,0
153,A3JLE2LJ5I17E2,terrorism,high,1,MA,NA,0
154,A3JLE2LJ5I17E2,pic,low,1,MA,NA,0
155,A3JLE2LJ5I17E2,coffee,low,1,MA,NA,1
156,A39A8K2UX0U05W,yoga,low,1,MA,NA,1
157,A39A8K2UX0U05W,inspector,high,1,MA,NA,1
158,A39A8K2UX0U05W,pic,low,1,MA,NA,0
159,A39A8K2UX0U05W,terrorism,high,1,MA,NA,0
160,AN098C29EGJ6,brother,low,1,MA,NA,0
161,AN098C29EGJ6,fbi,high,1,MA,NA,0
162,AN098C29EGJ6,coffee,low,1,MA,NA,0
163,AN098C29EGJ6,inspector,high,1,MA,NA,1
164,A3OB6REG5CGHK1,inspector,high,1,MA,NA,1
165,A3OB6REG5CGHK1,pic,low,1,MA,NA,1
166,A3HTLXAPOBCVVO,firefighter,high,1,MA,NA,1
167,A3HTLXAPOBCVVO,la,low,1,MA,NA,1
168,A3HTLXAPOBCVVO,brother,low,1,MA,NA,1
169,A3HTLXAPOBCVVO,terrorism,high,1,MA,NA,0
170,ABL3H3O3BI8ZD,operative,high,1,MA,NA,0
171,ABL3H3O3BI8ZD,terrorism,high,1,MA,NA,1
172,ABL3H3O3BI8ZD,pic,low,1,MA,NA,0
173,A3SHLGG66PJXEB,firefighter,high,1,MA,NA,1
174,A3SHLGG66PJXEB,terrorism,high,1,MA,NA,1
175,A20MYUKGSXUKM7,yoga,low,1,MA,NA,1
176,A20MYUKGSXUKM7,fbi,high,1,MA,NA,1
177,A2OFN0A5CPLH57,pic,low,1,MA,NA,1
178,A23A1WMFNPETYQ,terrorism,high,1,MA,NA,1
179,A23A1WMFNPETYQ,coffee,low,1,MA,NA,0
180,AR4XFM7G1W0VQ,brother,low,1,MA,NA,1
181,AR4XFM7G1W0VQ,terrorism,high,1,MA,NA,1
182,AR4XFM7G1W0VQ,firefighter,high,1,MA,NA,1
183,A1QA5EWFMNKGTA,brother,low,1,MA,NA,0
184,A2F2DDH12YU4AK,coffee,low,1,MA,NA,0
185,A2F2DDH12YU4AK,operative,high,1,MA,NA,0
186,A2F2DDH12YU4AK,yoga,low,1,MA,NA,0
187,A20J7F7PKEZZV2,pic,low,1,MA,NA,0
188,A20J7F7PKEZZV2,operative,high,1,MA,NA,1
189,A20J7F7PKEZZV2,inspector,high,1,MA,NA,0
190,A20J7F7PKEZZV2,fbi,high,1,MA,NA,1
191,A20J7F7PKEZZV2,firefighter,high,1,MA,NA,1
192,AONJLTBODD2WN,yoga,low,1,MA,NA,1
193,AONJLTBODD2WN,brother,low,1,MA,NA,1
194,AONJLTBODD2WN,inspector,high,1,MA,NA,1
195,A1NLW5ZS2WQR35,la,low,1,MA,NA,0
196,A1NLW5ZS2WQR35,inspector,high,1,MA,NA,1
197,A1NLW5ZS2WQR35,yoga,low,1,MA,NA,0
198,A5BMKZRGHNSRT,firefighter,high,1,MA,NA,1
199,A5BMKZRGHNSRT,la,low,1,MA,NA,0
200,AOKTAHY4F4J2B,yoga,low,1,MA,NA,1
201,AOKTAHY4F4J2B,terrorism,high,1,MA,NA,1
202,AOKTAHY4F4J2B,fbi,high,1,MA,NA,1
203,AOKTAHY4F4J2B,brother,low,1,MA,NA,1
204,A2CF2BD4Q0ZDJN,yoga,low,1,MA,NA,0
205,A2CF2BD4Q0ZDJN,operative,high,1,MA,NA,1
206,A2CF2BD4Q0ZDJN,terrorism,high,1,MA,NA,0
207,A2CF2BD4Q0ZDJN,la,low,1,MA,NA,0
208,A2CF2BD4Q0ZDJN,pic,low,1,MA,NA,0
209,A3VTOW7WLPTBRR,fbi,high,1,MA,NA,0
210,A3VTOW7WLPTBRR,firefighter,high,1,MA,NA,0
211,A3VTOW7WLPTBRR,la,low,1,MA,NA,1
212,A3VTOW7WLPTBRR,coffee,low,1,MA,NA,0
213,A3VTOW7WLPTBRR,terrorism,high,1,MA,NA,1
214,A3D2J8FHILXS90,firefighter,high,1,MA,NA,1
215,A3D2J8FHILXS90,yoga,low,1,MA,NA,1
216,A3D2J8FHILXS90,brother,low,1,MA,NA,1
217,A3D2J8FHILXS90,inspector,high,1,MA,NA,1
218,A3D2J8FHILXS90,pic,low,1,MA,NA,1
219,A3D2J8FHILXS90,coffee,low,1,MA,NA,1
220,A1T3ROSW2LC4FG,brother,low,1,MA,NA,1
221,A1T3ROSW2LC4FG,terrorism,high,1,MA,NA,1
222,A1T3ROSW2LC4FG,pic,low,1,MA,NA,0
223,A256FHXGSY0E5D,brother,low,1,MA,NA,1
224,A256FHXGSY0E5D,yoga,low,1,MA,NA,1
225,A256FHXGSY0E5D,pic,low,1,MA,NA,0
226,A256FHXGSY0E5D,firefighter,high,1,MA,NA,1
227,A2YBZFSUD5OP7W,coffee,low,1,MA,NA,1
228,A1KVUI9CRV0OVL,fbi,high,1,MA,NA,0
229,A1KVUI9CRV0OVL,terrorism,high,1,MA,NA,0
230,A1KVUI9CRV0OVL,operative,high,1,MA,NA,1
231,A1931U5JHX67RA,yoga,low,1,MA,NA,1
232,A1931U5JHX67RA,firefighter,high,1,MA,NA,1
233,A1931U5JHX67RA,coffee,low,1,MA,NA,1
234,A1931U5JHX67RA,inspector,high,1,MA,NA,1
235,AA4D4WHT4HBYW,firefighter,high,1,MA,NA,1
236,AA4D4WHT4HBYW,operative,high,1,MA,NA,1
237,A3ROADR7T6811,la,low,1,MA,NA,0
238,A3ROADR7T6811,inspector,high,1,MA,NA,1
239,A3ROADR7T6811,pic,low,1,MA,NA,1
240,A3ROADR7T6811,brother,low,1,MA,NA,1
241,A3ROADR7T6811,fbi,high,1,MA,NA,1
242,A2XRE5QRJYDWDA,operative,high,1,MA,NA,1
243,A2XRE5QRJYDWDA,brother,low,1,MA,NA,1
244,A2XRE5QRJYDWDA,fbi,high,1,MA,NA,0
245,A2XRE5QRJYDWDA,la,low,1,MA,NA,0
246,A2AY6B0GQCB6BA,yoga,low,1,MA,NA,1
247,A2AY6B0GQCB6BA,operative,high,1,MA,NA,1
248,A2AY6B0GQCB6BA,coffee,low,1,MA,NA,0
249,A3AY0315YWWNXY,la,low,1,MA,NA,0
250,A3AY0315YWWNXY,inspector,high,1,MA,NA,1
251,A3AY0315YWWNXY,pic,low,1,MA,NA,1
252,A3AY0315YWWNXY,coffee,low,1,MA,NA,0
253,A346UAH34GVOZX,yoga,low,1,MA,NA,1
254,A346UAH34GVOZX,terrorism,high,1,MA,NA,1
255,A346UAH34GVOZX,fbi,high,1,MA,NA,1
256,A346UAH34GVOZX,pic,low,1,MA,NA,0
257,AK1GE19RT3PK6,yoga,low,1,MA,NA,1
258,AK1GE19RT3PK6,fbi,high,1,MA,NA,1
259,AK1GE19RT3PK6,pic,low,1,MA,NA,1
260,AK1GE19RT3PK6,la,low,1,MA,NA,1
261,AK1GE19RT3PK6,coffee,low,1,MA,NA,1
262,AK1GE19RT3PK6,inspector,high,1,MA,NA,1
263,A5B73N9C2HVEG,terrorism,high,1,MA,NA,1
264,A5B73N9C2HVEG,operative,high,1,MA,NA,1
265,A5B73N9C2HVEG,inspector,high,1,MA,NA,1
266,A5B73N9C2HVEG,brother,low,1,MA,NA,0
267,A5B73N9C2HVEG,yoga,low,1,MA,NA,0
268,A3SXRD6C8AMKKR,brother,low,1,MA,NA,0
269,A3SXRD6C8AMKKR,firefighter,high,1,MA,NA,0
270,A38NKLE8WK7RKY,yoga,low,1,MA,NA,1
271,A38NKLE8WK7RKY,firefighter,high,1,MA,NA,1
272,A38NKLE8WK7RKY,pic,low,1,MA,NA,1
273,A38NKLE8WK7RKY,fbi,high,1,MA,NA,1
274,A3LL096CAY5WHB,coffee,low,1,MA,NA,0
275,A3LL096CAY5WHB,operative,high,1,MA,NA,0
276,A3LL096CAY5WHB,brother,low,1,MA,NA,0
277,APRZ7BR8C0ZMQ,pic,low,1,MA,NA,1
278,APRZ7BR8C0ZMQ,fbi,high,1,MA,NA,0
279,APRZ7BR8C0ZMQ,yoga,low,1,MA,NA,1
280,APRZ7BR8C0ZMQ,brother,low,1,MA,NA,1
281,A3BFMY5OX2WMUW,fbi,high,1,MA,NA,1
282,A3BFMY5OX2WMUW,yoga,low,1,MA,NA,1
283,A34VLM2UC0JY11,firefighter,high,1,MA,NA,1
284,A34VLM2UC0JY11,fbi,high,1,MA,NA,1
285,A34VLM2UC0JY11,la,low,1,MA,NA,1
286,AU01P6YB9J5JX,fbi,high,1,MA,NA,1
287,AU01P6YB9J5JX,brother,low,1,MA,NA,0
288,A2VD133723IZR8,operative,high,1,MA,NA,0
289,A2VD133723IZR8,brother,low,1,MA,NA,1
290,A2VD133723IZR8,coffee,low,1,MA,NA,0
291,A35K3YVCX1LVPE,coffee,low,1,MA,NA,1
292,A35K3YVCX1LVPE,yoga,low,1,MA,NA,1
293,A35K3YVCX1LVPE,terrorism,high,1,MA,NA,1
294,A35K3YVCX1LVPE,la,low,1,MA,NA,1
295,A1H58NTMLKRT02,la,low,1,MA,NA,0
296,A1H58NTMLKRT02,fbi,high,1,MA,NA,1
297,A3DIY0LLAPKP64,operative,high,1,MA,NA,1
298,A3DIY0LLAPKP64,pic,low,1,MA,NA,1
299,A3DIY0LLAPKP64,brother,low,1,MA,NA,1
300,A3DIY0LLAPKP64,coffee,low,1,MA,NA,1
301,A3JP7DIFRS0ZBY,coffee,low,1,MA,NA,0
302,A3JP7DIFRS0ZBY,terrorism,high,1,MA,NA,1
303,AVLCTOHSUQHYU,brother,low,1,MA,NA,0
304,AVLCTOHSUQHYU,yoga,low,1,MA,NA,0
305,AVLCTOHSUQHYU,operative,high,1,MA,NA,0
306,AVLCTOHSUQHYU,coffee,low,1,MA,NA,1
307,AVLCTOHSUQHYU,fbi,high,1,MA,NA,0
308,A1O7WUQDKPZGH4,brother,low,1,MA,NA,1
309,A1O7WUQDKPZGH4,terrorism,high,1,MA,NA,1
310,ACNHKXWKZRUZ5,operative,high,1,MA,NA,1
311,ACNHKXWKZRUZ5,firefighter,high,1,MA,NA,0
312,ACNHKXWKZRUZ5,yoga,low,1,MA,NA,1
313,ACNHKXWKZRUZ5,terrorism,high,1,MA,NA,1
314,ACNHKXWKZRUZ5,fbi,high,1,MA,NA,1
315,ACNHKXWKZRUZ5,pic,low,1,MA,NA,1
316,1,pic,low,1,MA,NA,0
317,1,la,low,1,MA,NA,1
318,2,firefighter,high,1,MA,NA,1
319,2,terrorism,high,1,MA,NA,1
320,3,terrorism,high,1,MA,NA,1
321,3,la,low,1,MA,NA,1
322,3,brother,low,1,MA,NA,0
323,4,firefighter,high,1,MA,NA,1
324,4,la,low,1,MA,NA,0
325,5,brother,low,1,MA,NA,0
326,5,operative,high,1,MA,NA,1
327,5,terrorism,high,1,MA,NA,1
328,5,fbi,high,1,MA,NA,1
329,5,inspector,high,1,MA,NA,1
330,6,coffee,low,1,MA,NA,1
331,6,brother,low,1,MA,NA,1
332,6,yoga,low,1,MA,NA,1
333,6,inspector,high,1,MA,NA,1
334,7,inspector,high,1,MA,NA,1
335,7,yoga,low,1,MA,NA,0
336,8,firefighter,high,1,MA,NA,0
337,8,terrorism,high,1,MA,NA,1
338,8,inspector,high,1,MA,NA,1
339,8,pic,low,1,MA,NA,1
340,8,fbi,high,1,MA,NA,1
341,8,operative,high,1,MA,NA,1
342,8,yoga,low,1,MA,NA,0
343,9,coffee,low,1,MA,NA,1
344,10,coffee,low,1,MA,NA,1
345,10,brother,low,1,MA,NA,1
346,10,terrorism,high,1,MA,NA,1
347,10,la,low,1,MA,NA,1
348,11,fbi,high,1,MA,NA,0
349,11,yoga,low,1,MA,NA,0
350,11,terrorism,high,1,MA,NA,1
351,11,operative,high,1,MA,NA,1
352,11,brother,low,1,MA,NA,0
353,11,inspector,high,1,MA,NA,1
354,12,la,low,1,MA,NA,0
355,12,pic,low,1,MA,NA,0
356,12,yoga,low,1,MA,NA,0
357,13,brother,low,1,MA,NA,1
358,13,operative,high,1,MA,NA,1
359,13,yoga,low,1,MA,NA,1
360,13,terrorism,high,1,MA,NA,1
361,13,inspector,high,1,MA,NA,1
362,14,terrorism,high,1,MA,NA,0
363,14,coffee,low,1,MA,NA,1
364,14,inspector,high,1,MA,NA,1
365,14,operative,high,1,MA,NA,1
366,14,firefighter,high,1,MA,NA,1
367,14,la,low,1,MA,NA,0
368,15,fbi,high,1,MA,NA,0
369,15,brother,low,1,MA,NA,1
370,15,terrorism,high,1,MA,NA,1
371,15,inspector,high,1,MA,NA,1
372,15,la,low,1,MA,NA,0
373,16,coffee,low,1,MA,NA,1
374,16,fbi,high,1,MA,NA,1
375,16,terrorism,high,1,MA,NA,1
376,16,yoga,low,1,MA,NA,1
377,17,firefighter,high,1,MA,NA,1
378,17,yoga,low,1,MA,NA,1
379,17,fbi,high,1,MA,NA,0
380,17,coffee,low,1,MA,NA,0
381,17,inspector,high,1,MA,NA,1
382,18,coffee,low,1,MA,NA,0
383,18,operative,high,1,MA,NA,1
384,18,fbi,high,1,MA,NA,1
385,19,la,low,1,MA,NA,1
386,19,operative,high,1,MA,NA,1
387,19,coffee,low,1,MA,NA,0
388,19,yoga,low,1,MA,NA,0
389,19,firefighter,high,1,MA,NA,1
390,A1LOUZD99NZCT2,brother,low,1,MO,high,1
391,A1LOUZD99NZCT2,yoga,low,1,MO,high,1
392,A1LOUZD99NZCT2,pic,low,1,MO,high,1
393,A1LOUZD99NZCT2,terrorism,high,1,MO,high,1
394,A1LOUZD99NZCT2,coffee,low,1,MO,high,0
395,A1LOUZD99NZCT2,operative,high,1,MO,high,0
396,A1LOUZD99NZCT2,la,low,1,MO,high,0
397,A2YVC1U50H2B4R,la,low,1,MO,high,0
398,A2YVC1U50H2B4R,firefighter,high,1,MO,high,1
399,A2YVC1U50H2B4R,pic,low,1,MO,high,1
400,A2YVC1U50H2B4R,coffee,low,1,MO,high,1
401,A2QWERWB75X8YU,operative,high,1,MO,high,0
402,A2QWERWB75X8YU,yoga,low,1,MO,high,1
403,A2QWERWB75X8YU,inspector,high,1,MO,high,1
404,A2QWERWB75X8YU,la,low,1,MO,high,1
405,ACVJ6IUO9QM4R,coffee,low,1,MO,high,1
406,ACVJ6IUO9QM4R,la,low,1,MO,high,0
407,ACVJ6IUO9QM4R,firefighter,high,1,MO,high,0
408,ACVJ6IUO9QM4R,pic,low,1,MO,high,1
409,ACVJ6IUO9QM4R,fbi,high,1,MO,high,1
410,A1DIW2K1J89CMO,brother,low,1,MO,high,1
411,A1DIW2K1J89CMO,pic,low,1,MO,high,1
412,A1DIW2K1J89CMO,operative,high,1,MO,high,1
413,A1DIW2K1J89CMO,yoga,low,1,MO,high,1
414,A11FRLH5KWRLBV,fbi,high,1,MO,high,1
415,A11FRLH5KWRLBV,pic,low,1,MO,high,0
416,A11FRLH5KWRLBV,terrorism,high,1,MO,high,0
417,A11FRLH5KWRLBV,yoga,low,1,MO,high,0
418,A11FRLH5KWRLBV,inspector,high,1,MO,high,1
419,A11FRLH5KWRLBV,coffee,low,1,MO,high,1
420,A11FRLH5KWRLBV,firefighter,high,1,MO,high,0
421,A11FRLH5KWRLBV,la,low,1,MO,high,1
422,A2YGAEODJ5SSF6,fbi,high,1,MO,high,1
423,A2YGAEODJ5SSF6,la,low,1,MO,high,1
424,A2YGAEODJ5SSF6,operative,high,1,MO,high,0
425,A2YGAEODJ5SSF6,coffee,low,1,MO,high,1
426,A2YGAEODJ5SSF6,firefighter,high,1,MO,high,1
427,A2YGAEODJ5SSF6,terrorism,high,1,MO,high,1
428,A2DVJ6OMVVYTC7,fbi,high,1,MO,high,0
429,A2DVJ6OMVVYTC7,la,low,1,MO,high,1
430,A2DVJ6OMVVYTC7,brother,low,1,MO,high,1
431,A2DVJ6OMVVYTC7,yoga,low,1,MO,high,0
432,A2DVJ6OMVVYTC7,operative,high,1,MO,high,0
433,AA8MK8AWWWL62,operative,high,1,MO,high,1
434,AA8MK8AWWWL62,pic,low,1,MO,high,1
435,AA8MK8AWWWL62,firefighter,high,1,MO,high,1
436,AA8MK8AWWWL62,inspector,high,1,MO,high,1
437,AA8MK8AWWWL62,terrorism,high,1,MO,high,1
438,AA8MK8AWWWL62,yoga,low,1,MO,high,1
439,A10LGIY5HFYMZM,yoga,low,1,MO,high,1
440,A10LGIY5HFYMZM,terrorism,high,1,MO,high,1
441,A10LGIY5HFYMZM,coffee,low,1,MO,high,1
442,A10LGIY5HFYMZM,firefighter,high,1,MO,high,1
443,A10LGIY5HFYMZM,pic,low,1,MO,high,1
444,A10LGIY5HFYMZM,inspector,high,1,MO,high,1
445,A10LGIY5HFYMZM,brother,low,1,MO,high,1
446,A2LCOTUKCDULAA,inspector,high,1,MO,high,0
447,A2LCOTUKCDULAA,terrorism,high,1,MO,high,0
448,A2LCOTUKCDULAA,coffee,low,1,MO,high,1
449,A2LCOTUKCDULAA,operative,high,1,MO,high,0
450,A35NM2285DUAFH,brother,low,1,MO,high,1
451,A35NM2285DUAFH,la,low,1,MO,high,1
452,A35NM2285DUAFH,inspector,high,1,MO,high,1
453,A35NM2285DUAFH,coffee,low,1,MO,high,1
454,A35NM2285DUAFH,firefighter,high,1,MO,high,1
455,A35NM2285DUAFH,yoga,low,1,MO,high,1
456,A2L22HZ50T83UK,brother,low,1,MO,high,1
457,A2L22HZ50T83UK,operative,high,1,MO,high,1
458,A2L22HZ50T83UK,yoga,low,1,MO,high,1
459,A2L22HZ50T83UK,terrorism,high,1,MO,high,0
460,A2L22HZ50T83UK,coffee,low,1,MO,high,1
461,A1U8HCXVACOGJ8,terrorism,high,1,MO,high,1
462,A1U8HCXVACOGJ8,coffee,low,1,MO,high,1
463,A1U8HCXVACOGJ8,operative,high,1,MO,high,1
464,A1U8HCXVACOGJ8,yoga,low,1,MO,high,1
465,A1U8HCXVACOGJ8,inspector,high,1,MO,high,1
466,A1U8HCXVACOGJ8,pic,low,1,MO,high,1
467,AWPB724OHY99T,brother,low,1,MO,high,0
468,AWPB724OHY99T,pic,low,1,MO,high,0
469,AWPB724OHY99T,coffee,low,1,MO,high,1
470,AWPB724OHY99T,yoga,low,1,MO,high,1
471,AWPB724OHY99T,firefighter,high,1,MO,high,1
472,AWPB724OHY99T,la,low,1,MO,high,1
473,AWPB724OHY99T,fbi,high,1,MO,high,0
