"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"20","A1JQ3GAFW1XZYZ","english",21,"male","nst","('NST_3a_chosen', 'yes')","('NST_3b_chosen', 'no')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '3334')"
"21","A1JQ3GAFW1XZYZ","english",21,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '3100')","","",""
"22","A1JQ3GAFW1XZYZ","english",21,"male","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2110')",""
"23","A1JQ3GAFW1XZYZ","english",21,"male","exit_quest","('know_conditons', 'good')","('difficult', 'good')","('anything_else', 'good')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '20125')",""
"24","A251YA0XPAWWIQ","english",32,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '5769')","","","",""
"25","A251YA0XPAWWIQ","english",32,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '23445')",""
"26","A251YA0XPAWWIQ","english",32,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '17950')",""
"27","A251YA0XPAWWIQ","english",32,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3509')","","","",""
"28","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists D and E.""%2CCoworker 2 says%2C ""Dentists A and B.""%2CCoworker 3 says%2C ""Dentist E.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '32496')"
"29","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstores A and B.""%2CFriend 2 says%2C ""Bookstores A%2C B%2C C%2C D and E.""%2CFriend 3 says%2C ""Bookstore A.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8003')"
"30","A251YA0XPAWWIQ","english",32,"female","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '9270')","","",""
"31","A251YA0XPAWWIQ","english",32,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3347')",""
"32","A251YA0XPAWWIQ","english",32,"female","nst","('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'no')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '8420')"
"33","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist F.""%2CFriend 2 says%2C ""Stylist E.""%2CFriend 3 says%2C ""Stylist A.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'no')","('hair_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4341')"
"34","A251YA0XPAWWIQ","english",32,"female","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'yes')","('_REACTION_TIME_', '3564')","","",""
"35","A251YA0XPAWWIQ","english",32,"female","nst","('NST_3a_chosen', 'no')","('NST_3b_chosen', 'yes')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '2465')"
"36","A251YA0XPAWWIQ","english",32,"female","control","('what_A_chosen', 'no')","('what_B_chosen', 'no')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '7565')",""
"37","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stalls A and B.""%2CRoommate 2 says%2C ""Stall E.""%2CRoommate 3 says%2C ""Stall F.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'no')","('florist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5535')"
"38","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stores D and E.""%2CFriend 2 says%2C ""Store A.""%2CFriend 3 says%2C ""Store E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'no')","('shoes_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3813')"
"39","A251YA0XPAWWIQ","english",32,"female","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'yes')","('_REACTION_TIME_', '5134')","","",""
"40","A251YA0XPAWWIQ","english",32,"female","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '13521')",""
"41","A251YA0XPAWWIQ","english",32,"female","nst","('NST_1a_chosen', 'no')","('NST_1b_chosen', 'yes')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '3031')",""
"42","A251YA0XPAWWIQ","english",32,"female","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafes D and E.""%2CRoommate 2 says%2C ""Cafe A.""%2CRoommate 3 says%2C ""Cafe E.""')","('coffee_A_chosen', 'yes')","('coffee_B_chosen', 'no')","('coffee_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5374')"
"43","A251YA0XPAWWIQ","english",32,"female","ginz","('ginzwhere_largegrain_y_chosen', 'no')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '3075')","","",""
"44","A251YA0XPAWWIQ","english",32,"female","nst","('NST_4a_chosen', 'yes')","('NST_4b_chosen', 'no')","('_REACTION_TIME_', '4735')","","",""
"45","A251YA0XPAWWIQ","english",32,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3742')",""
"46","A251YA0XPAWWIQ","english",32,"female","exit_quest","('know_conditons', '')","('difficult', '')","('anything_else', '')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3967')",""
"47","A3PLDW841STU8B","english",21,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3739')","","","",""
"48","A3PLDW841STU8B","english",21,"male","train","('train_f_A_chosen', 'yes')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '28897')",""
"49","A3PLDW841STU8B","english",21,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '5361')",""
"50","A3PLDW841STU8B","english",21,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1379')","","","",""
"51","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafe F.""%2CRoommate 2 says%2C ""Cafe E.""%2CRoommate 3 says%2C ""Cafes A and B.""')","('coffee_A_chosen', 'no')","('coffee_B_chosen', 'yes')","('coffee_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6496')"
"52","A3PLDW841STU8B","english",21,"male","nst","('NST_2a_chosen', 'no')","('NST_2b_chosen', 'yes')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '5508')"
"53","A3PLDW841STU8B","english",21,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '13630')","","",""
"54","A3PLDW841STU8B","english",21,"male","control","('when_A_chosen', 'yes')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '4533')",""
"55","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stall E.""%2CRoommate 2 says%2C ""Stall A.""%2CRoommate 3 says%2C ""Stall F.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'no')","('florist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3773')"
"56","A3PLDW841STU8B","english",21,"male","nst","('NST_1a_chosen', 'no')","('NST_1b_chosen', 'yes')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '2712')",""
"57","A3PLDW841STU8B","english",21,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '3602')","","",""
"58","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstores D and E.""%2CFriend 2 says%2C ""Bookstore E.""%2CFriend 3 says%2C ""Bookstore F.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3994')"
"59","A3PLDW841STU8B","english",21,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2433')",""
"60","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store F.""%2CFriend 2 says%2C ""Stores D and E.""%2CFriend 3 says%2C ""Stores A%2C B%2C C%2C D and E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'yes')","('shoes_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2977')"
"61","A3PLDW841STU8B","english",21,"male","nst","('NST_3a_chosen', 'no')","('NST_3b_chosen', 'yes')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '3572')"
"62","A3PLDW841STU8B","english",21,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '8708')","","",""
"63","A3PLDW841STU8B","english",21,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '3155')",""
"64","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylist E.""%2CFriend 2 says%2C ""Stylist A.""%2CFriend 3 says%2C ""Stylists A%2C B%2C C%2C D and E.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'yes')","('hair_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4169')"
"65","A3PLDW841STU8B","english",21,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists A and B.""%2CCoworker 2 says%2C ""Dentist E.""%2CCoworker 3 says%2C ""Dentists A%2C B%2C C%2C D and E.""')","('dentist_A_chosen', 'yes')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2273')"
"66","A3PLDW841STU8B","english",21,"male","nst","('NST_4a_chosen', 'yes')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '5739')","","",""
"67","A3PLDW841STU8B","english",21,"male","ginz","('ginzwho_smallgrain_y_chosen', 'no')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '3875')","","",""
"68","A3PLDW841STU8B","english",21,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'yes')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '1882')",""
"69","A3PLDW841STU8B","english",21,"male","exit_quest","('know_conditons', 'good')","('difficult', 'very good')","('anything_else', 'knoweldge')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '114571')",""
"70","A3A4UFCFF9DMW3","english",22,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2148')","","","",""
"71","A3A4UFCFF9DMW3","english",22,"male","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '10890')",""
"72","A3A4UFCFF9DMW3","english",22,"male","train","('train_m_A_chosen', 'yes')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '10071')",""
"73","A3A4UFCFF9DMW3","english",22,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3787')","","","",""
"74","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists A and B.""%2CCoworker 2 says%2C ""Dentist E.""%2CCoworker 3 says%2C ""Dentist A.""')","('dentist_A_chosen', 'no')","('dentist_B_chosen', 'yes')","('dentist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5944')"
"75","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstore E.""%2CFriend 2 says%2C ""Bookstores A and B.""%2CFriend 3 says%2C ""Bookstores D and E.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '7010')"
"76","A3A4UFCFF9DMW3","english",22,"male","nst","('NST_4a_chosen', 'yes')","('NST_4b_chosen', 'no')","('_REACTION_TIME_', '13784')","","",""
"77","A3A4UFCFF9DMW3","english",22,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'yes')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '5275')",""
"78","A3A4UFCFF9DMW3","english",22,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '4257')","","",""
"79","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stores D and E.""%2CFriend 2 says%2C ""Stores A%2C B%2C C%2C D and E.""%2CFriend 3 says%2C ""Store E.""')","('shoes_A_chosen', 'no')","('shoes_B_chosen', 'no')","('shoes_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6752')"
"80","A3A4UFCFF9DMW3","english",22,"male","nst","('NST_2a_chosen', 'no')","('NST_2b_chosen', 'yes')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '4970')"
"81","A3A4UFCFF9DMW3","english",22,"male","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '6899')","","",""
"82","A3A4UFCFF9DMW3","english",22,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '3195')",""
"83","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylists A and B.""%2CFriend 2 says%2C ""Stylist E.""%2CFriend 3 says%2C ""Stylists D and E.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'yes')","('hair_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4028')"
"84","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stall A.""%2CRoommate 2 says%2C ""Stalls D and E.""%2CRoommate 3 says%2C ""Stall F.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'yes')","('florist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2209')"
"85","A3A4UFCFF9DMW3","english",22,"male","nst","('NST_3a_chosen', 'no')","('NST_3b_chosen', 'yes')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'no')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '3891')"
"86","A3A4UFCFF9DMW3","english",22,"male","control","('when_A_chosen', 'yes')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '4421')",""
"87","A3A4UFCFF9DMW3","english",22,"male","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '9952')","","",""
"88","A3A4UFCFF9DMW3","english",22,"male","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafe E.""%2CRoommate 2 says%2C ""Cafes D and E.""%2CRoommate 3 says%2C ""Cafes A and B.""')","('coffee_A_chosen', 'yes')","('coffee_B_chosen', 'no')","('coffee_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4430')"
"89","A3A4UFCFF9DMW3","english",22,"male","nst","('NST_1a_chosen', 'no')","('NST_1b_chosen', 'yes')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '8322')",""
"90","A3A4UFCFF9DMW3","english",22,"male","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '6513')","","",""
"91","A3A4UFCFF9DMW3","english",22,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'yes')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2267')",""
"92","A3A4UFCFF9DMW3","english",22,"male","exit_quest","('know_conditons', 'good')","('difficult', 'no')","('anything_else', 'very good')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '87152')",""
"93","A1WKF2VH7TV0H2","English",22,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1236')","","","",""
"94","A1WKF2VH7TV0H2","English",22,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '12421')",""
"95","A1WKF2VH7TV0H2","English",22,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '14637')",""
"96","A1WKF2VH7TV0H2","English",22,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1544')","","","",""
"97","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderCoworker 1 says%2C ""Dentists D and E.""%2CCoworker 2 says%2C ""Dentist A.""%2CCoworker 3 says%2C ""Dentists A%2C B%2C C%2C D and E.""')","('dentist_A_chosen', 'yes')","('dentist_B_chosen', 'yes')","('dentist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '13399')"
"98","A1WKF2VH7TV0H2","English",22,"female","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '5205')","","",""
"99","A1WKF2VH7TV0H2","English",22,"female","nst","('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'yes')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '9239')"
"100","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Store A.""%2CFriend 2 says%2C ""Store E.""%2CFriend 3 says%2C ""Store F.""')","('shoes_A_chosen', 'yes')","('shoes_B_chosen', 'yes')","('shoes_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '7786')"
"101","A1WKF2VH7TV0H2","English",22,"female","control","('how_guest_A_chosen', 'yes')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '16051')",""
"102","A1WKF2VH7TV0H2","English",22,"female","ginz","('ginzwhere_smallgrain_y_chosen', 'yes')","('ginzwhere_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '4787')","","",""
"103","A1WKF2VH7TV0H2","English",22,"female","nst","('NST_3a_chosen', 'yes')","('NST_3b_chosen', 'no')","('NST_3c_chosen', 'no')","('NST_3d_chosen', 'yes')","('NST_3e_chosen', 'no')","('_REACTION_TIME_', '9556')"
"104","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Stalls D and E.""%2CRoommate 2 says%2C ""Stall A.""%2CRoommate 3 says%2C ""Stalls A and B.""')","('florist_A_chosen', 'no')","('florist_B_chosen', 'yes')","('florist_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '16402')"
"105","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderRoommate 1 says%2C ""Cafe F.""%2CRoommate 2 says%2C ""Cafes A and B.""%2CRoommate 3 says%2C ""Cafe E.""')","('coffee_A_chosen', 'no')","('coffee_B_chosen', 'yes')","('coffee_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '29700')"
"106","A1WKF2VH7TV0H2","English",22,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'yes')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '5321')",""
"107","A1WKF2VH7TV0H2","English",22,"female","ginz","('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '2695')","","",""
"108","A1WKF2VH7TV0H2","English",22,"female","nst","('NST_4a_chosen', 'no')","('NST_4b_chosen', 'yes')","('_REACTION_TIME_', '3950')","","",""
"109","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Stylists D and E.""%2CFriend 2 says%2C ""Stylists A and B.""%2CFriend 3 says%2C ""Stylist A.""')","('hair_A_chosen', 'no')","('hair_B_chosen', 'yes')","('hair_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '9980')"
"110","A1WKF2VH7TV0H2","English",22,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '10001')",""
"111","A1WKF2VH7TV0H2","English",22,"female","test","('answers_reported', 'placeholderFriend 1 says%2C ""Bookstores D and E.""%2CFriend 2 says%2C ""Bookstore E.""%2CFriend 3 says%2C ""Bookstore A.""')","('books_A_chosen', 'no')","('books_B_chosen', 'no')","('books_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2810')"
"112","A1WKF2VH7TV0H2","English",22,"female","ginz","('ginzwho_smallgrain_y_chosen', 'yes')","('ginzwho_smallgrain_n_chosen', 'no')","('_REACTION_TIME_', '1524')","","",""
