,subject,story,trial,tense,Seen,ResponseType,Informativity,Chosen
42,A3O6OQEIHB2MYB,test_books,low,past,1,MA,NA,0
43,A3O6OQEIHB2MYB,test_hair,low,past,1,MA,NA,0
44,A3EN5H82IBTJGF,test_yarn,low,past,1,MA,NA,0
45,A3EN5H82IBTJGF,test_coffee,low,past,1,MA,NA,0
46,A3EN5H82IBTJGF,test_books,low,past,1,MA,NA,1
47,A3EN5H82IBTJGF,test_hair,low,past,1,MA,NA,1
48,A33UMG50QSJ7KS,test_hair,low,past,1,MA,NA,1
49,A33UMG50QSJ7KS,test_yarn,low,past,1,MA,NA,1
50,A2PXJTMWGUE5DC,test_yarn,low,past,1,MA,NA,1
51,A2PXJTMWGUE5DC,test_books,low,past,1,MA,NA,0
52,A1B84JJ7ATWVJA,test_yarn,low,past,1,MA,NA,1
53,A1B84JJ7ATWVJA,test_books,low,past,1,MA,NA,0
54,A1B84JJ7ATWVJA,test_hair,low,past,1,MA,NA,1
55,A1B84JJ7ATWVJA,test_coffee,low,past,1,MA,NA,0
56,A1Y82LKWQQP90M,test_shoes,low,past,1,MA,NA,0
57,A1Y82LKWQQP90M,test_hair,low,past,1,MA,NA,1
58,A1Y82LKWQQP90M,test_yarn,low,past,1,MA,NA,0
59,A1Y82LKWQQP90M,test_coffee,low,past,1,MA,NA,1
60,A2N2GFB33ZMYGF,test_coffee,low,past,1,MA,NA,0
61,A1BBZ5EMNSCZJR,test_yarn,low,past,1,MA,NA,0
62,A1BBZ5EMNSCZJR,test_books,low,past,1,MA,NA,0
63,A1BBZ5EMNSCZJR,test_shoes,low,past,1,MA,NA,0
64,A1BBZ5EMNSCZJR,test_hair,low,past,1,MA,NA,0
65,a2ytqdlactliba,test_shoes,low,past,1,MA,NA,0
66,AF8OT1W25HEM7,test_hair,low,past,1,MA,NA,0
67,AF8OT1W25HEM7,test_yarn,low,past,1,MA,NA,1
68,AF8OT1W25HEM7,test_coffee,low,past,1,MA,NA,1
69,AF8OT1W25HEM7,test_books,low,past,1,MA,NA,1
70,A96JK3576FXG5,test_hair,low,past,1,MA,NA,0
71,A96JK3576FXG5,test_yarn,low,past,1,MA,NA,0
72,A2YLK83DQ6PA5Y,test_hair,low,past,1,MA,NA,1
73,A2YLK83DQ6PA5Y,test_yarn,low,past,1,MA,NA,0
74,A2YLK83DQ6PA5Y,test_books,low,past,1,MA,NA,0
75,A2YLK83DQ6PA5Y,test_coffee,low,past,1,MA,NA,0
76,ARHBT4K14I7U,test_hair,low,past,1,MA,NA,0
77,AECQ7QG4CQP69,test_coffee,low,past,1,MA,NA,1
78,AECQ7QG4CQP69,test_books,low,past,1,MA,NA,0
79,A19L8SNH73AX1Z,test_hair,low,past,1,MA,NA,1
80,A2C6HMH2FDM2CI,test_hair,low,past,1,MA,NA,0
81,A2C6HMH2FDM2CI,test_yarn,low,past,1,MA,NA,0
82,A3C5G8LGIAW0XL,test_books,low,past,1,MA,NA,0
83,A0017268R9SKD8U2Y3F,test_shoes,low,past,1,MA,NA,1
84,A2F2DDH12YU4AK,test_coffee,low,past,1,MA,NA,0
85,A2OSK4VP3ZOV7O,test_shoes,low,past,1,MA,NA,1
86,AL7UTA8J27TFK,test_yarn,low,past,1,MA,NA,1
87,AL7UTA8J27TFK,test_books,low,past,1,MA,NA,1
88,AZ8JL3QNIPY4U,test_books,low,past,1,MA,NA,1
89,A1CSHXVJJ8BPHH,test_books,low,past,1,MA,NA,0
90,A2Q1BS4JJ10J8H,test_coffee,low,past,1,MA,NA,0
91,A2Q1BS4JJ10J8H,test_shoes,low,past,1,MA,NA,1
92,A3LT7W355XOAKF,test_hair,low,past,1,MA,NA,0
93,A3LT7W355XOAKF,test_books,low,past,1,MA,NA,1
94,A1CGDMOPDIC7EU,test_shoes,low,past,1,MA,NA,0
95,A3AY0315YWWNXY,test_coffee,low,past,1,MA,NA,1
96,AQKB8JSBEMXK9,test_coffee,low,past,1,MA,NA,1
97,A8KX1HFH8NE2Q,test_yarn,low,past,1,MA,NA,0
98,A8KX1HFH8NE2Q,test_books,low,past,1,MA,NA,0
99,A8KX1HFH8NE2Q,test_hair,low,past,1,MA,NA,0
100,AKHH4W14A6AN9,test_coffee,low,past,1,MA,NA,0
101,AKHH4W14A6AN9,test_hair,low,past,1,MA,NA,0
102,A3KCZB9IL6CVH,test_yarn,low,past,1,MA,NA,0
103,A3KCZB9IL6CVH,test_books,low,past,1,MA,NA,0
104,A27K37YQZDPER6,test_hair,low,past,1,MA,NA,1
105,A3KE35E6VK782J,test_shoes,low,past,1,MA,NA,1
106,A3KE35E6VK782J,test_hair,low,past,1,MA,NA,0
107,AA4O2W236E3FW,test_hair,low,past,1,MA,NA,1
108,A1ODA3Q5H6HTDQ,test_shoes,low,past,1,MA,NA,0
109,A1ODA3Q5H6HTDQ,test_yarn,low,past,1,MA,NA,1
110,A1ODA3Q5H6HTDQ,test_books,low,past,1,MA,NA,1
111,AL36KBFL3ORCD,test_coffee,low,past,1,MA,NA,1
112,AL36KBFL3ORCD,test_books,low,past,1,MA,NA,0
113,AL36KBFL3ORCD,test_shoes,low,past,1,MA,NA,0
114,A1LC7VHVIFI8BP,test_coffee,low,past,1,MA,NA,0
115,A1LC7VHVIFI8BP,test_shoes,low,past,1,MA,NA,0
116,ACFJI8D9OGJTL,test_hair,low,past,1,MA,NA,0
117,ACFJI8D9OGJTL,test_coffee,low,past,1,MA,NA,0
118,A221N4JDWK8XK0,test_shoes,low,past,1,MA,NA,1
119,A221N4JDWK8XK0,test_books,low,past,1,MA,NA,0
120,A1KTPYX40PRLVW,test_hair,low,past,1,MA,NA,0
121,AL6WVETPGOW1A,test_hair,low,past,1,MA,NA,0
122,A372F1FDPWXBY3,test_books,low,past,1,MA,NA,1
123,A3V8RZYN8NBK2O,test_yarn,low,past,1,MA,NA,1
124,A2WKZI3JQCE3Z6,test_yarn,low,past,1,MA,NA,1
125,A2WKZI3JQCE3Z6,test_coffee,low,past,1,MA,NA,1
126,A5TI9UQEPLNWI,test_shoes,low,past,1,MA,NA,1
127,A1E1ZAHNCSVLIT,test_shoes,low,past,1,MA,NA,1
128,A1FS8SBR4SDWYG,test_shoes,low,past,1,MA,NA,0
129,A24L4Y8HCZSUIF,test_hair,low,past,1,MA,NA,1
130,A24L4Y8HCZSUIF,test_coffee,low,past,1,MA,NA,1
131,A1PAMVTKGCXSWQ,test_shoes,low,past,1,MA,NA,0
132,A1IJ86B8ZRKXBI,test_shoes,low,past,1,MA,NA,0
133,A3NK47PYLGRNFC,test_hair,low,past,1,MA,NA,1
134,A3NK47PYLGRNFC,test_shoes,low,past,1,MA,NA,1
135,AVXEDARJC5HLU,test_hair,low,past,1,MA,NA,1
136,A30K9F91VNW9BL,test_shoes,low,past,1,MA,NA,1
137,A30K9F91VNW9BL,test_books,low,past,1,MA,NA,1
138,AWAW665TQQP2F,test_coffee,low,past,1,MA,NA,1
139,ABI1EI8UQK6LK,test_yarn,low,past,1,MA,NA,0
140,ABI1EI8UQK6LK,test_hair,low,past,1,MA,NA,0
141,A3JT22BLG866CK,test_hair,low,past,1,MA,NA,0
142,A3JT22BLG866CK,test_coffee,low,past,1,MA,NA,0
143,A3JT22BLG866CK,test_books,low,past,1,MA,NA,0
144,AGC3T6724JUAF,test_shoes,low,past,1,MA,NA,0
145,A2NA2OJT15COZY,test_shoes,low,past,1,MA,NA,0
146,AVD6HMIO1HLFI,test_coffee,low,past,1,MA,NA,1
147,A3DTPUNCHRVGP4,test_yarn,low,past,1,MA,NA,0
148,A1JQ3GAFW1XZYZ,test_yarn,low,present,1,MA,NA,1
149,A251YA0XPAWWIQ,test_books,low,present,1,MA,NA,0
150,A3PLDW841STU8B,test_shoes,low,present,1,MA,NA,0
151,A3PLDW841STU8B,test_hair,low,present,1,MA,NA,0
152,A3A4UFCFF9DMW3,test_shoes,low,present,1,MA,NA,0
153,ADUACF4TW5833,test_books,low,present,1,MA,NA,1
154,ADUACF4TW5833,test_hair,low,present,1,MA,NA,0
155,ADUACF4TW5833,test_yarn,low,present,1,MA,NA,0
156,ABZ1LM3J8REE6,test_shoes,low,present,1,MA,NA,0
157,ABZ1LM3J8REE6,test_hair,low,present,1,MA,NA,1
158,ABZ1LM3J8REE6,test_yarn,low,present,1,MA,NA,1
159,A1WL6K3EUA2WOX,test_shoes,low,present,1,MA,NA,1
160,A1WL6K3EUA2WOX,test_yarn,low,present,1,MA,NA,1
161,A1C7XI68SED8JE,test_shoes,low,present,1,MA,NA,1
162,A1C7XI68SED8JE,test_coffee,low,present,1,MA,NA,1
163,A1C7XI68SED8JE,test_books,low,present,1,MA,NA,1
164,A1C7XI68SED8JE,test_hair,low,present,1,MA,NA,1
165,A15340BRCER2UO,test_shoes,low,present,1,MA,NA,0
166,A15340BRCER2UO,test_coffee,low,present,1,MA,NA,1
167,A15340BRCER2UO,test_books,low,present,1,MA,NA,0
168,AL5UXD1GLG4X0,test_books,low,present,1,MA,NA,0
169,AL5UXD1GLG4X0,test_hair,low,present,1,MA,NA,1
170,A17DXR1QC8GWL8,test_yarn,low,present,1,MA,NA,0
171,A55V2U9UG3Z47,test_yarn,low,present,1,MA,NA,0
172,A35BY30TC8WCL4,test_yarn,low,present,1,MA,NA,1
173,A35BY30TC8WCL4,test_coffee,low,present,1,MA,NA,0
174,A35BY30TC8WCL4,test_hair,low,present,1,MA,NA,0
175,A39PWM9C4U0TEP,test_books,low,present,1,MA,NA,1
176,A39PWM9C4U0TEP,test_coffee,low,present,1,MA,NA,1
177,A39PWM9C4U0TEP,test_hair,low,present,1,MA,NA,1
178,A1WLRHL0U23N38,test_books,low,present,1,MA,NA,1
179,A1WLRHL0U23N38,test_shoes,low,present,1,MA,NA,1
180,A173XG3NZ7JPT7,test_books,low,present,1,MA,NA,1
181,A173XG3NZ7JPT7,test_yarn,low,present,1,MA,NA,1
182,A173XG3NZ7JPT7,test_shoes,low,present,1,MA,NA,1
183,A10LLZZHZVGWRW,test_books,low,present,1,MA,NA,0
184,A2541C8MY0BYV3,test_coffee,low,present,1,MA,NA,1
185,A2541C8MY0BYV3,test_yarn,low,present,1,MA,NA,0
186,A2541C8MY0BYV3,test_books,low,present,1,MA,NA,0
187,A19D2W1PR68NO,test_shoes,low,present,1,MA,NA,1
188,A19D2W1PR68NO,test_hair,low,present,1,MA,NA,1
189,A19D2W1PR68NO,test_coffee,low,present,1,MA,NA,1
190,A19D2W1PR68NO,test_books,low,present,1,MA,NA,1
191,A26FRAYAIDR4NV,test_hair,low,present,1,MA,NA,0
192,A3JODCUHJMCSA2,test_yarn,low,present,1,MA,NA,0
193,A03172343NB8PHOPICC1,test_shoes,low,present,1,MA,NA,0
194,A03172343NB8PHOPICC1,test_yarn,low,present,1,MA,NA,1
195,ADOVF9SBJJK33,test_shoes,low,present,1,MA,NA,1
196,ADOVF9SBJJK33,test_books,low,present,1,MA,NA,1
197,A2EW08X2I87RXL,test_shoes,low,present,1,MA,NA,1
198,ALF9AAZGQP4K5,test_coffee,low,present,1,MA,NA,0
199,ALF9AAZGQP4K5,test_hair,low,present,1,MA,NA,1
200,A28LPPFS7FW2SD,test_hair,low,present,1,MA,NA,1
201,A28LPPFS7FW2SD,test_yarn,low,present,1,MA,NA,1
202,A38YLXHJTSE5VD,test_hair,low,present,1,MA,NA,0
203,A38YLXHJTSE5VD,test_books,low,present,1,MA,NA,1
204,A38YLXHJTSE5VD,test_yarn,low,present,1,MA,NA,0
205,AZCGSVDT79E6X,test_shoes,low,present,1,MA,NA,1
206,AZCGSVDT79E6X,test_books,low,present,1,MA,NA,1
207,A3UN1F1EOHKKE6,test_hair,low,present,1,MA,NA,1
208,AXP8EG22MPZY8,test_coffee,low,present,1,MA,NA,0
209,A1XATJA7ENOGWB,test_books,low,present,1,MA,NA,1
210,A1XATJA7ENOGWB,test_yarn,low,present,1,MA,NA,1
211,A2W5Q0IVJUS7Y6,test_books,low,present,1,MA,NA,1
212,AKAPWAUEDPVGV,test_books,low,present,1,MA,NA,0
213,AKAPWAUEDPVGV,test_shoes,low,present,1,MA,NA,0
214,A39BSJLRE2AQD4,test_coffee,low,present,1,MA,NA,1
215,A20Q6LGMUJLJDG,test_yarn,low,present,1,MA,NA,0
216,A264G2H7KNNP3C,test_shoes,low,present,1,MA,NA,1
217,A12569NJ7KY1KX,test_shoes,low,present,1,MA,NA,1
218,A12569NJ7KY1KX,test_hair,low,present,1,MA,NA,0
219,A30FCN88F8DZOT,test_coffee,low,present,1,MA,NA,0
220,A30FCN88F8DZOT,test_yarn,low,present,1,MA,NA,0
221,A1TSQCY9QR6RM7,test_shoes,low,present,1,MA,NA,0
222,A2W046PDRTCZW7,test_coffee,low,present,1,MA,NA,1
223,A2W046PDRTCZW7,test_shoes,low,present,1,MA,NA,1
224,A2W046PDRTCZW7,test_yarn,low,present,1,MA,NA,1
225,A2SZRPGIEYRCG6,test_coffee,low,present,1,MA,NA,1
226,A2SZRPGIEYRCG6,test_books,low,present,1,MA,NA,1
227,A2SZRPGIEYRCG6,test_hair,low,present,1,MA,NA,1
228,A2LV5432PV1S39,test_books,low,present,1,MA,NA,1
229,A1BZNPQ0H7ZSER,test_shoes,low,present,1,MA,NA,1
230,A1BZNPQ0H7ZSER,test_yarn,low,present,1,MA,NA,1
231,A1BZNPQ0H7ZSER,test_coffee,low,present,1,MA,NA,1
232,A1BZNPQ0H7ZSER,test_hair,low,present,1,MA,NA,1
233,AC7Z8O1RETQC4,test_books,low,present,1,MA,NA,1
234,A15SJZQBR8I3B3,test_coffee,low,present,1,MA,NA,0
235,A12IHTKQFQIPD1,test_shoes,low,present,1,MA,NA,1
236,A12IHTKQFQIPD1,test_yarn,low,present,1,MA,NA,1
237,A12IHTKQFQIPD1,test_hair,low,present,1,MA,NA,1
238,A2KPTC4K228GM3,test_shoes,low,present,1,MA,NA,1
239,A2KPTC4K228GM3,test_yarn,low,present,1,MA,NA,1
240,A38JCBX2DD2ILP,test_books,low,present,1,MA,NA,1
241,A1Q16A7AICS0C4,test_books,low,present,1,MA,NA,0
242,A1SHLWKA0UH1IS,test_hair,low,present,1,MA,NA,0
243,A1SHLWKA0UH1IS,test_shoes,low,present,1,MA,NA,1
244,A23OS0HQ12VVOR,test_shoes,low,present,1,MA,NA,1
245,A23OS0HQ12VVOR,test_coffee,low,present,1,MA,NA,0
246,A23OS0HQ12VVOR,test_books,low,present,1,MA,NA,0
247,A23OS0HQ12VVOR,test_yarn,low,present,1,MA,NA,0
248,A2JIY3NSLQJWAE,test_books,low,present,1,MA,NA,1
249,A2JIY3NSLQJWAE,test_coffee,low,present,1,MA,NA,1
250,A2JIY3NSLQJWAE,test_hair,low,present,1,MA,NA,1
251,AZXTZQBZ1F4UV,test_hair,low,present,1,MA,NA,1
252,AZXTZQBZ1F4UV,test_shoes,low,present,1,MA,NA,1
253,AZXTZQBZ1F4UV,test_yarn,low,present,1,MA,NA,1
254,A120PN22KW0VPY,test_shoes,low,present,1,MA,NA,0
255,A2JWHS06PQMJ1,test_books,low,present,1,MA,NA,1
256,A2JWHS06PQMJ1,test_shoes,low,present,1,MA,NA,1
257,A2JWHS06PQMJ1,test_yarn,low,present,1,MA,NA,0
258,AD6FEEQSW8PRE,test_hair,low,present,1,MA,NA,1
259,AD6FEEQSW8PRE,test_coffee,low,present,1,MA,NA,0
260,A2TNTYHHICCA3Z,test_yarn,low,present,1,MA,NA,0
261,A2TNTYHHICCA3Z,test_coffee,low,present,1,MA,NA,1
262,A2TNTYHHICCA3Z,test_shoes,low,present,1,MA,NA,1
263,AT53IAFG8BTZO,test_coffee,low,present,1,MA,NA,1
264,AT53IAFG8BTZO,test_yarn,low,present,1,MA,NA,1
265,AT53IAFG8BTZO,test_hair,low,present,1,MA,NA,1
266,A2YCHYBHJESOUD,test_books,low,present,1,MA,NA,0
267,ADNSFH55XO2F8,test_coffee,low,present,1,MA,NA,0
268,ADNSFH55XO2F8,test_books,low,present,1,MA,NA,0
269,ADNSFH55XO2F8,test_hair,low,present,1,MA,NA,1
270,A157L6Z8QU3SDE,test_yarn,low,present,1,MA,NA,0
271,A157L6Z8QU3SDE,test_hair,low,present,1,MA,NA,0
272,A9EQ4FWCUQVBL,test_coffee,low,present,1,MA,NA,0
273,A9EQ4FWCUQVBL,test_yarn,low,present,1,MA,NA,0
274,A3908297ZI3LES,test_books,low,present,1,MA,NA,0
275,A3908297ZI3LES,test_hair,low,present,1,MA,NA,0
276,A3908297ZI3LES,test_coffee,low,present,1,MA,NA,1
277,A1IJ9VL8YPIE3T,test_shoes,low,present,1,MA,NA,0
278,A3IYDY7TO808Z3,test_shoes,low,present,1,MA,NA,1
279,A3IYDY7TO808Z3,test_hair,low,present,1,MA,NA,0
280,A3DEG7PE4RFCWB,test_books,low,present,1,MA,NA,0
281,A3DEG7PE4RFCWB,test_yarn,low,present,1,MA,NA,1
282,A3DEG7PE4RFCWB,test_coffee,low,present,1,MA,NA,0
283,A3DEG7PE4RFCWB,test_shoes,low,present,1,MA,NA,0
284,AHZ7C7ETHYX3N,test_hair,low,present,1,MA,NA,0
285,AHZ7C7ETHYX3N,test_yarn,low,present,1,MA,NA,1
286,AHZ7C7ETHYX3N,test_books,low,present,1,MA,NA,1
287,AT13EK8JER5C3,test_yarn,low,present,1,MA,NA,0
288,A255V2M0CC1G8L,test_yarn,low,present,1,MA,NA,1
289,A255V2M0CC1G8L,test_books,low,present,1,MA,NA,0
290,A255V2M0CC1G8L,test_hair,low,present,1,MA,NA,0
291,A3RL02A3JRAUS4,test_hair,low,present,1,MA,NA,1
292,A13FUEPWBCLBUY,test_coffee,low,present,1,MA,NA,1
293,A1V2H0UF94ATWY,test_hair,low,present,1,MA,NA,1
294,AJFVK3O1D7SPE,test_books,low,present,1,MA,NA,0
295,A10T7GP0TH27RB,test_coffee,low,present,1,MA,NA,0
296,A10T7GP0TH27RB,test_hair,low,present,1,MA,NA,1
297,A1GV1POLY1EHJV,test_hair,low,present,1,MA,NA,0
298,A36IYIE23IO4HE,test_books,low,present,1,MA,NA,0
299,A36IYIE23IO4HE,test_coffee,low,present,1,MA,NA,1
300,A36IYIE23IO4HE,test_yarn,low,present,1,MA,NA,1
301,A36IYIE23IO4HE,test_shoes,low,present,1,MA,NA,0
302,AZTHBV93S8U3T,test_yarn,low,present,1,MA,NA,0
303,AY43RJRF8IEBN,test_coffee,low,present,1,MA,NA,0
304,AY43RJRF8IEBN,test_hair,low,present,1,MA,NA,0
305,AY43RJRF8IEBN,test_books,low,present,1,MA,NA,0
306,A35KO5LPASBFI9,test_books,low,present,1,MA,NA,1
307,A2MM10557W7PLD,test_hair,low,past,1,MO,high,0
308,A2MM10557W7PLD,test_shoes,low,past,1,MO,high,1
309,A3FFZN4FO3Q789,test_coffee,low,past,1,MO,high,1
310,A3FFZN4FO3Q789,test_books,low,past,1,MO,high,1
311,A3FFZN4FO3Q789,test_hair,low,past,1,MO,high,1
312,A14NSVH4W27CK0,test_shoes,low,past,1,MO,high,0
313,A14NSVH4W27CK0,test_yarn,low,past,1,MO,high,0
314,ALDWVFR4I0V2D,test_yarn,low,past,1,MO,high,1
315,ALDWVFR4I0V2D,test_shoes,low,past,1,MO,high,1
316,ALDWVFR4I0V2D,test_hair,low,past,1,MO,high,1
317,A3GQR89E66AQJY,test_yarn,low,past,1,MO,high,0
318,A3GQR89E66AQJY,test_books,low,past,1,MO,high,0
319,A3GQR89E66AQJY,test_hair,low,past,1,MO,high,1
320,A3GQR89E66AQJY,test_coffee,low,past,1,MO,high,0
321,A25ZLJK1VMAXXQ,test_shoes,low,past,1,MO,high,0
322,A25ZLJK1VMAXXQ,test_hair,low,past,1,MO,high,0
323,A25ZLJK1VMAXXQ,test_books,low,past,1,MO,high,1
324,A2791MEBSOAD1U,test_books,low,past,1,MO,high,0
325,A2791MEBSOAD1U,test_shoes,low,past,1,MO,high,1
326,A2791MEBSOAD1U,test_coffee,low,past,1,MO,high,1
327,A34B9FXOCN08RW,test_coffee,low,past,1,MO,high,1
328,A1YIBSKY9U31X6,test_coffee,low,past,1,MO,high,1
329,A1YIBSKY9U31X6,test_hair,low,past,1,MO,high,1
330,A1YIBSKY9U31X6,test_shoes,low,past,1,MO,high,1
331,AC5UD8N187QD6,test_books,low,past,1,MO,high,0
332,AC5UD8N187QD6,test_yarn,low,past,1,MO,high,1
333,AC5UD8N187QD6,test_hair,low,past,1,MO,high,0
334,AC5UD8N187QD6,test_coffee,low,past,1,MO,high,0
335,A2WWYVKGZZXBOB,test_books,low,past,1,MO,high,0
336,A25FNSFSB048DL,test_shoes,low,past,1,MO,high,0
337,A25FNSFSB048DL,test_hair,low,past,1,MO,high,1
338,A25FNSFSB048DL,test_yarn,low,past,1,MO,high,1
339,A10UWP6T47G9TR,test_yarn,low,past,1,MO,high,0
340,A10UWP6T47G9TR,test_books,low,past,1,MO,high,1
341,A10UWP6T47G9TR,test_hair,low,past,1,MO,high,0
342,A10UWP6T47G9TR,test_shoes,low,past,1,MO,high,0
343,A20SL254675EOK,test_books,low,past,1,MO,high,1
344,A20SL254675EOK,test_coffee,low,past,1,MO,high,1
345,A20SL254675EOK,test_shoes,low,past,1,MO,high,1
346,A20SL254675EOK,test_hair,low,past,1,MO,high,1
347,A36OS4XKUJF4NB,test_shoes,low,past,1,MO,high,0
348,A36OS4XKUJF4NB,test_yarn,low,past,1,MO,high,0
349,A3QSJY1FFN0N6V,test_hair,low,past,1,MO,high,0
350,A3QSJY1FFN0N6V,test_books,low,past,1,MO,high,1
351,A3QSJY1FFN0N6V,test_shoes,low,past,1,MO,high,1
352,A3QSJY1FFN0N6V,test_yarn,low,past,1,MO,high,1
353,A3HXIGBCL1CRFS,test_coffee,low,past,1,MO,high,0
354,A3HXIGBCL1CRFS,test_shoes,low,past,1,MO,high,0
355,A3A07QA5U733HQ,test_yarn,low,past,1,MO,high,1
356,A3A07QA5U733HQ,test_coffee,low,past,1,MO,high,1
357,A3A07QA5U733HQ,test_books,low,past,1,MO,high,1
358,A3FY7A6Z3EVNRX,test_shoes,low,past,1,MO,high,0
359,A3FY7A6Z3EVNRX,test_hair,low,past,1,MO,high,1
360,A3SL5QRF7MX2P1,test_hair,low,past,1,MO,high,1
361,A3SL5QRF7MX2P1,test_yarn,low,past,1,MO,high,1
362,A3SL5QRF7MX2P1,test_shoes,low,past,1,MO,high,1
363,A31X9CV1UWZV8Z,test_coffee,low,past,1,MO,high,1
364,A31X9CV1UWZV8Z,test_hair,low,past,1,MO,high,1
365,A31X9CV1UWZV8Z,test_shoes,low,past,1,MO,high,0
366,A28Q4YJSLGWCL5,test_books,low,past,1,MO,high,0
367,A28Q4YJSLGWCL5,test_shoes,low,past,1,MO,high,0
368,A28Q4YJSLGWCL5,test_hair,low,past,1,MO,high,0
369,A2ZAORW27PCSU4,test_yarn,low,past,1,MO,high,0
370,ALJ70B2J04YR7,test_hair,low,past,1,MO,high,0
371,ALJ70B2J04YR7,test_books,low,past,1,MO,high,0
372,ALJ70B2J04YR7,test_coffee,low,past,1,MO,high,0
373,AJW3PL5UDH4BP,test_yarn,low,past,1,MO,high,1
374,AJW3PL5UDH4BP,test_shoes,low,past,1,MO,high,1
375,AJW3PL5UDH4BP,test_hair,low,past,1,MO,high,1
376,AJW3PL5UDH4BP,test_coffee,low,past,1,MO,high,1
377,A3O6OQEIHB2MYB,test_shoes,low,past,1,MO,high,0
378,A3EN5H82IBTJGF,test_yarn,low,past,1,MO,high,0
379,A3EN5H82IBTJGF,test_shoes,low,past,1,MO,high,1
380,A3EN5H82IBTJGF,test_hair,low,past,1,MO,high,1
381,A2JS70VVJQW2GR,test_hair,low,past,1,MO,high,1
382,A2JS70VVJQW2GR,test_books,low,past,1,MO,high,1
383,A2JS70VVJQW2GR,test_coffee,low,past,1,MO,high,1
384,A2JS70VVJQW2GR,test_yarn,low,past,1,MO,high,1
385,A2JS70VVJQW2GR,test_shoes,low,past,1,MO,high,1
386,A33UMG50QSJ7KS,test_books,low,past,1,MO,high,1
387,A33UMG50QSJ7KS,test_hair,low,past,1,MO,high,1
388,A33UMG50QSJ7KS,test_shoes,low,past,1,MO,high,1
389,A33UMG50QSJ7KS,test_yarn,low,past,1,MO,high,1
390,A2PXJTMWGUE5DC,test_coffee,low,past,1,MO,high,1
391,A2PXJTMWGUE5DC,test_hair,low,past,1,MO,high,1
392,A2PXJTMWGUE5DC,test_shoes,low,past,1,MO,high,1
393,A1B84JJ7ATWVJA,test_yarn,low,past,1,MO,high,1
394,A1B84JJ7ATWVJA,test_hair,low,past,1,MO,high,1
395,A1B84JJ7ATWVJA,test_coffee,low,past,1,MO,high,0
396,A1B84JJ7ATWVJA,test_shoes,low,past,1,MO,high,1
397,ADGH08WUP68ZF,test_books,low,past,1,MO,high,0
398,ADGH08WUP68ZF,test_shoes,low,past,1,MO,high,0
